season,team_id,team_name,off_rtg,def_rtg,net_rtg,pace,rest_days,ts_pct,tov_pct,oreb_pct,home,win_streak,srs,point_diff,fg3_rate,ftr,back_to_back,travel_km,prev_margin,label
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1987.5,33.0,1
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,1,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,0.0,5.0,0
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,1,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,0.0,-6.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,0.0,6.0,0
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,0,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,1987.5,4.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,1,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1987.5,-4.0,0
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,1,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,0.0,-4.0,1
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,0,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,0.0,4.0,0
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,1,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,1987.5,-7.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1987.5,7.0,0
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,1,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1987.5,-8.0,1
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,0,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,1987.5,8.0,0
2015-16,1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,2,0.5518657037228097,0.139,0.3,1,4,4.118,4.5,0.2878228782287823,0.3284132841328413,0,1987.5,-12.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1987.5,12.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,4,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,33.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,863.6,3.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,2,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,12.0,1
2015-16,1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,2,0.5472818162882732,0.15,0.294,0,1,1.015,0.8,0.3317811408614668,0.2677532013969732,0,0.0,-12.0,0
